company,people_documented,pct_immigrant,pct_documented_adversity,potential_mean,mental_mean,adversity_origin_mean,disclosed_comp_count,median_disclosed_comp,valuation_usd_trillions,ownership,sector
NVIDIA,79,45.9,29.1,76.3,75.3,56.5,5,21362532.0,5.053,Public,Semiconductors / AI
Apple,91,26.4,13.2,77.2,74.9,49.3,5,27100000.0,4.428,Public,Consumer Electronics
Alphabet (Google),75,65.3,29.3,78.0,75.6,58.5,6,38579296.0,4.404,Public,Internet / AI
Microsoft,75,56.8,26.7,77.3,75.6,54.6,5,28300000.0,3.058,Public,Software / Cloud
Amazon,77,37.7,18.2,77.8,75.6,53.8,7,25717606.0,2.637,Public,E-commerce / Cloud
TSMC,37,36.0,13.5,79.3,76.0,52.2,1,74000000.0,2.213,Public,Semiconductor Foundry
Broadcom,41,40.0,12.2,77.4,74.9,50.4,4,28391528.0,1.877,Public,Semiconductors / Software
Saudi Aramco,36,11.8,8.3,79.4,75.9,48.8,0,,1.75,Public,Oil & Gas
Tesla,45,54.8,20.0,77.5,75.5,52.5,3,376000.0,1.535,Public,Automotive / Energy
Meta Platforms,82,51.4,19.5,77.9,75.4,53.9,5,23620488.0,1.485,Public,Social / AI
SpaceX,34,18.2,17.6,78.5,76.5,49.5,0,,1.25,Private,Aerospace / Satellites / AI
OpenAI,116,37.3,13.8,77.6,74.8,51.3,0,,0.852,Private,Frontier AI
