company,Africa,East Asia,Europe,Latin America,Middle East,North America,Oceania,South Asia,Southeast Asia
NVIDIA,2.3,10.1,7.2,5.0,3.3,46.9,1.6,20.5,3.1
Apple,2.9,11.9,8.8,5.8,2.6,43.1,2.1,19.5,3.3
Alphabet (Google),2.6,12.2,8.7,5.7,3.5,42.7,1.0,20.2,3.4
Microsoft,1.7,10.1,8.4,5.3,3.3,46.8,1.0,20.2,3.2
Amazon,3.5,9.6,6.9,4.1,3.3,46.5,2.0,21.5,2.6
TSMC,0.5,88.9,0.7,0.0,0.0,4.3,0.0,1.9,3.7
Broadcom,3.3,11.7,7.3,4.6,2.8,45.9,1.2,20.2,3.0
Saudi Aramco,4.3,0.8,2.6,0.0,79.1,0.4,0.0,9.6,3.2
Tesla,2.3,11.9,7.5,4.0,3.3,43.2,1.3,23.7,2.8
Meta Platforms,2.4,12.0,8.5,4.5,2.6,44.2,0.9,22.6,2.3
