company,ticker,name,title,year_joined,origin_country,origin_region,immigrant,role_category,total_compensation_usd,comp_fiscal_year,documented_adversity,potential_index,mental_strength,adversity_origin_score,data_tier
NVIDIA,NVDA,Jensen Huang,Founder President & CEO,1993.0,Taiwan,East Asia,Yes,Founder/CEO,49866251.0,FY2025,Immigrant sent to US ~age 9; cleaned bathrooms at a Kentucky boarding school; modest means,100,95,88,core
NVIDIA,NVDA,Chris Malachowsky,Co-founder & NVIDIA Fellow,1993.0,USA,North America,No,Co-founder,,,none documented,85,76,45,core
NVIDIA,NVDA,Curtis Priem,Co-founder (former CTO),1993.0,USA,North America,No,Co-founder,,,none documented,80,72,45,core
NVIDIA,NVDA,Colette Kress,EVP & CFO,2013.0,USA,North America,No,CFO,21362532.0,FY2025,none documented,80,72,45,core
NVIDIA,NVDA,Jay Puri,EVP Worldwide Field Operations,2005.0,India,South Asia,Yes,C-suite,21590897.0,FY2025,immigrant background,78,74,60,core
NVIDIA,NVDA,Debora Shoquist,EVP Operations,2007.0,USA,North America,No,C-suite,19217903.0,FY2025,none documented,76,72,45,core
NVIDIA,NVDA,Tim Teter,EVP General Counsel,2017.0,USA,North America,No,C-suite,19201821.0,FY2025,none documented,74,70,45,core
NVIDIA,NVDA,Michael Kagan,Chief Technology Officer,2020.0,USSR/Israel,Middle East,Yes,CTO,,,Reportedly rejected by Russian university over Jewish name; immigrated to Israel; funded studies as a cleaner,82,90,88,core
NVIDIA,NVDA,Bill Dally,Chief Scientist & SVP Research,2009.0,USA,North America,No,Chief Scientist,,,none documented,84,74,45,core
NVIDIA,NVDA,Ian Buck,VP & GM Hyperscale and HPC,2004.0,USA,North America,No,Tech Leader,,,none documented (created CUDA),82,72,45,core
NVIDIA,NVDA,Bryan Catanzaro,VP Applied Deep Learning Research,2011.0,USA,North America,No,Tech Leader,,,none documented,78,70,45,core
NVIDIA,NVDA,Jonah Alben,SVP GPU Engineering,1997.0,USA,North America,No,Tech Leader,,,none documented,78,72,45,core
NVIDIA,NVDA,Tench Coxe,Director,1993.0,USA,North America,No,Director,,,none documented,68,68,45,core
NVIDIA,NVDA,Mark Stevens,Director,1993.0,USA,North America,No,Director,,,none documented,70,68,45,core
NVIDIA,NVDA,Dawn Hudson,Director,2013.0,USA,North America,No,Director,,,none documented,66,66,45,core
NVIDIA,NVDA,John Dabiri,Director,2020.0,USA,North America,No,Director,,,Son of Nigerian immigrants; became full professor at 25,80,76,68,core
NVIDIA,NVDA,Stephen Neal,Lead Independent Director,2008.0,USA,North America,No,Director,,,none documented,66,66,45,core
NVIDIA,NVDA,Aarti Shah,Director,2020.0,India,South Asia,Yes,Director,,,immigrant background,68,70,58,core
NVIDIA,NVDA,David Luebke,VP of Research,2006.0,USA,North America,No,Tech Leader,,,none documented,76,74,45,extended
