company,ticker,name,title,year_joined,origin_country,origin_region,immigrant,role_category,total_compensation_usd,comp_fiscal_year,documented_adversity,potential_index,mental_strength,adversity_origin_score,data_tier
Apple,AAPL,Tim Cook,CEO (becoming Executive Chair Sep 2026),1998.0,USA,North America,No,Founder/CEO,74600000.0,FY2024,Working-class Alabama roots; shipyard-worker father,92,86,72,core
Apple,AAPL,John Ternus,SVP Hardware Engineering (becoming CEO),2001.0,USA,North America,No,C-suite,,,none documented,82,74,45,core
Apple,AAPL,Sabih Khan,Chief Operating Officer,1995.0,India,South Asia,Yes,C-suite,,,immigrant; moved India to Singapore to US,80,76,62,core
Apple,AAPL,Craig Federighi,SVP Software Engineering,2009.0,USA,North America,No,C-suite,,,none documented,82,74,45,core
Apple,AAPL,Eddy Cue,SVP Services,1989.0,USA,North America,No,C-suite,,,Cuban-Spanish heritage,80,74,55,core
Apple,AAPL,Greg Joswiak,SVP Worldwide Marketing,1986.0,USA,North America,No,C-suite,,,none documented,76,72,45,core
Apple,AAPL,Johny Srouji,SVP Hardware Technologies,2008.0,Israel,Middle East,Yes,C-suite,,,Arab-Christian minority in Israel; carpenter father; humble origins,84,84,78,core
Apple,AAPL,Deirdre O'Brien,SVP Retail + People,1988.0,USA,North America,No,C-suite,27100000.0,FY2024,none documented,76,72,45,core
Apple,AAPL,Kate Adams,SVP & General Counsel,2017.0,USA,North America,No,C-suite,27200000.0,FY2024,none documented,74,70,45,core
Apple,AAPL,Jennifer Newstead,SVP & General Counsel,2025.0,USA,North America,No,C-suite,,,none documented,74,72,45,core
Apple,AAPL,Kevan Parekh,SVP & CFO,2024.0,USA,North America,No,CFO,,,none documented,76,72,45,core
Apple,AAPL,Phil Schiller,Apple Fellow,1997.0,USA,North America,No,Tech Leader,,,none documented,76,72,45,core
Apple,AAPL,Luca Maestri,VP Corporate Services (former CFO),2013.0,Italy,Europe,Yes,C-suite,27100000.0,FY2024,immigrant background,76,74,52,core
Apple,AAPL,Jeff Williams,Former COO,1998.0,USA,North America,No,C-suite,27100000.0,FY2024,none documented,80,74,45,core
Apple,AAPL,Arthur Levinson,Chair of the Board,2000.0,USA,North America,No,Chair,,,none documented,82,74,45,core
Apple,AAPL,Isabel Ge Mahe,VP & MD Greater China,2017.0,China,East Asia,Yes,C-suite,,,immigrant background,74,72,58,core
Apple,AAPL,Tim Millet,VP Platform Architecture,2007.0,,Unknown,Unknown,Tech Leader,,,none documented,76,74,45,extended
Apple,AAPL,Adrian Perica,VP Corporate Development,2009.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Bud Tribble,VP Software Technology,2002.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Bob Borchers,VP Worldwide Product Marketing,2009.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Kaiann Drance,VP Worldwide Product Marketing,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Kevin Lynch,VP Technology,2013.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Kristin Huguet Quayle,VP Worldwide Communications,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Kristina Raspe,VP Global Real Estate & Facilities,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Lisa Jackson,VP Environment Policy & Social Initiatives,2013.0,USA,North America,No,C-suite,,,Adopted at birth; grew up in African American neighborhood in New Orleans,76,80,78,extended
Apple,AAPL,Oliver Schusser,VP Apple Music & International Content,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Sebastien Marineau-Mes,VP Software,,Canada,North America,Yes,C-suite,,,none documented,76,74,60,extended
Apple,AAPL,Susan Prescott,VP Worldwide Developer Relations & Enterprise Marketing,2003.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Todd Teresi,VP Advertising Platforms,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Tor Myhren,VP Marketing Communications,2016.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Andreas Wendker,VP Software Engineering,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Cheryl Thomas,VP Software Engineering Operations,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Jon Andrews,VP Core OS Software Engineering,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Sumbul Desai,VP Health,2017.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Jennifer Bailey,VP Apple Pay & Apple Wallet,2003.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Kim Vorrath,VP Program Management,1987.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Ron Huang,VP Sensing & Connectivity,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Myra Haggerty,VP Sensor Software & UX Prototyping,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Jay Blahnik,VP Fitness Technologies,2013.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Mike Rockwell,VP & head of Siri,2015.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Paul Meade,head of Vision Products Group,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Alan Dye,VP Human Interface Design,2006.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Molly Anderson,head of Industrial Design,2014.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Richard Howarth,Industrial Designer,1996.0,UK,Europe,Yes,Tech Leader,,,none documented,76,74,60,extended
Apple,AAPL,Samy Bengio,Senior Director AI & Machine Learning Research,2021.0,France,Europe,Yes,Tech Leader,,,Son of Moroccan-Jewish immigrants to France,76,80,78,extended
Apple,AAPL,Stan Ng,VP Product Marketing,1995.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Deidre Caldbeck,Senior Director Product Marketing,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Lori Malm,Director Services,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Joshua Susskind,Machine Learning Research Scientist,,,Unknown,Unknown,Tech Leader,,,none documented,76,74,45,extended
Apple,AAPL,Navdeep Jaitly,Machine Learning Research Scientist,,,Unknown,Unknown,Tech Leader,,,none documented,76,74,45,extended
Apple,AAPL,Kunal Talwar,Machine Learning Research Scientist,,,Unknown,Unknown,Tech Leader,,,none documented,76,74,45,extended
Apple,AAPL,Jonathon Shlens,Machine Learning Research Scientist,,,Unknown,Unknown,Tech Leader,,,none documented,76,74,45,extended
Apple,AAPL,Mehrdad Farajtabar,Machine Learning Research Scientist,,,Unknown,Unknown,Tech Leader,,,none documented,76,74,45,extended
Apple,AAPL,Russ Webb,Machine Learning Researcher,,,Unknown,Unknown,Tech Leader,,,none documented,76,74,45,extended
Apple,AAPL,Yinfei Yang,Machine Learning Research Scientist,,,Unknown,Unknown,Tech Leader,,,none documented,76,74,45,extended
Apple,AAPL,Carlos Guestrin,Machine Learning Director,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Ruslan Salakhutdinov,Machine Learning Research Director,2016.0,,Unknown,Unknown,Tech Leader,,,none documented,76,74,45,extended
Apple,AAPL,Bob Mansfield,former SVP Hardware Engineering,1999.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Dan Riccio,VP (Engineering),1998.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Steve Hotelling,former VP,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Jeff Wilcox,former Director Mac System Architecture,,,Unknown,Unknown,Tech Leader,,,none documented,76,74,45,extended
Apple,AAPL,Jony Ive,former Chief Design Officer,1992.0,UK,Europe,Yes,C-suite,,,none documented,76,74,60,extended
Apple,AAPL,Evans Hankey,former VP Industrial Design,1998.0,USA,North America,No,C-suite,,,none documented,76,74,45,extended
Apple,AAPL,Christopher Stringer,former Industrial Designer,1997.0,UK,Europe,Yes,Tech Leader,,,none documented,76,74,60,extended
