company,ticker,name,title,year_joined,origin_country,origin_region,immigrant,role_category,total_compensation_usd,comp_fiscal_year,documented_adversity,potential_index,mental_strength,adversity_origin_score,data_tier
Broadcom,AVGO,Hock Tan,President CEO & Director,2006.0,Malaysia,Southeast Asia,Yes,Founder/CEO,205278006.0,FY2025,Immigrant from modest Penang origins; MIT on scholarship; two children with autism,90,88,80,core
Broadcom,AVGO,Henry Samueli,Chairman & Co-founder,1991.0,USA,North America,No,Co-founder,,,Son of Polish-Jewish Holocaust survivors,88,82,85,core
Broadcom,AVGO,Kirsten Spears,CFO & Chief Accounting Officer,2014.0,USA,North America,No,CFO,28164046.0,FY2025,none documented,78,72,45,core
Broadcom,AVGO,Charlie Kawwas,President Semiconductor Solutions Group,2014.0,Canada,North America,No,C-suite,2115626.0,FY2025,none documented,80,74,48,core
Broadcom,AVGO,Mark Brazeal,Chief Legal & Corporate Affairs Officer,2017.0,USA,North America,No,C-suite,28619011.0,FY2025,none documented,76,72,45,core
Broadcom,AVGO,Diane Bryant,Director,2019.0,USA,North America,No,Director,,,none documented,78,74,45,core
Broadcom,AVGO,Gayla Delly,Director,2018.0,USA,North America,No,Director,,,none documented,74,72,45,core
Broadcom,AVGO,Kenneth Hao,Director,2024.0,USA,North America,No,Director,,,none documented,78,72,45,core
Broadcom,AVGO,Check Kian Low,Director,2016.0,Singapore,Southeast Asia,Yes,Director,,,none documented,74,72,50,core
Broadcom,AVGO,Justine Page,Director,2019.0,USA,North America,No,Director,,,none documented,72,72,45,core
Broadcom,AVGO,Harry You,Director,2020.0,USA,North America,No,Director,,,none documented,76,72,48,core
Broadcom,AVGO,Henry Nicholas III,Co-founder,1991.0,USA,North America,No,Co-founder,,,Has dyslexia; parents divorced when he was four,82,82,60,core
Broadcom,AVGO,Ram Velaga,SVP & GM Core Switching,2012.0,India,South Asia,Yes,Tech Leader,,,immigrant background,78,74,58,core
Broadcom,AVGO,Tom Krause,Former President Software Group / CFO,2015.0,USA,North America,No,C-suite,,,none documented,78,74,45,core
Broadcom,AVGO,Frank Ostojic,SVP & GM ASIC Products Division,1996.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Mark Gonikberg,SVP & GM Wireless and Broadband Communications,1999.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Vijay Janapaty,VP & GM Physical Layer Products Division,,India,South Asia,Yes,C-suite,,,none documented,76,74,60,extended
Broadcom,AVGO,Hassan Hussain,VP & GM Motion Control Products Division,2006.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Jeff Hoogenboom,VP & GM Emulex Connectivity Division,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Near Margalit,VP & GM Optical Systems Division,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Francis Khor,VP & GM Optoelectronic Products Division,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Rich Nelson,SVP & GM Set-Top Box and Cable Modem Products Division,1995.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Dennis Makishima,VP & Co-GM Brocade Storage Networking Division,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Yuan Xing Lee,VP Central Engineering,2016.0,China,East Asia,Yes,C-suite,,,none documented,76,74,60,extended
Broadcom,AVGO,Boon Chye Ooi,SVP Global Operations,2009.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Alan Davidson,Chief Information Officer,2005.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Andy Nallappan,Former CTO & Head of Software Business Operations,2016.0,,Unknown,Unknown,CTO,,,none documented,80,76,45,extended
Broadcom,AVGO,Greg Lotko,SVP & GM Mainframe Software Division,2018.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Clayton Donley,VP & GM Identity Management Security Division,,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Adam Bromwich,VP & GM Symantec Endpoint Security Division,2019.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Matt Cooke,VP & GM Payment Security Division (Arcot),,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Serge Lucio,VP & GM Agile Operations Division,,France,Europe,Yes,C-suite,,,none documented,76,74,60,extended
Broadcom,AVGO,Krish Prasad,SVP & GM VMware Cloud Foundation Division,2023.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Purnima Padmanabhan,VP & GM Tanzu Division,2023.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Mike Wookey,Head of R&D Tanzu Division,2023.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Sanjay Uppal,VP & GM Software-defined Edge (VeloCloud) Division,2017.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Sylvain Cazard,President Asia Pacific & Japan,2023.0,France,Europe,Yes,C-suite,,,none documented,76,74,60,extended
Broadcom,AVGO,Prashanth Shenoy,CMO & VP Marketing VMware Cloud Foundation Division,2023.0,,Unknown,Unknown,C-suite,,,none documented,76,74,45,extended
Broadcom,AVGO,Raghu Raghuram,Former CEO VMware,,India,South Asia,Yes,Division-CEO,,,none documented,84,80,60,extended
Broadcom,AVGO,Scott McGregor,Former President & CEO Broadcom Corporation,2005.0,United States,North America,No,Division-CEO,,,none documented,84,80,45,extended
Broadcom,AVGO,Vahid Manian,Former SVP Global Manufacturing Operations Broadcom Corporation,1996.0,,Unknown,Unknown,C-suite,,,Fired in 2008 after academic degrees listed in his bio were found to be unverified,76,80,78,extended
