name,title,year_joined,origin_country,education,prior_company,notable,documented_adversity
Bill Dally,Chief Scientist and SVP of Research,2009,USA,PhD Caltech; professor Stanford and MIT,Stanford University,Pioneer of modern interconnection networks and GPU computing; NAE member,none documented
David Luebke,VP of Research,2006,USA,PhD UNC Chapel Hill under Fred Brooks,University of Virginia faculty,Co-founder of NVIDIA Research; IEEE Fellow,none documented
Jan Kautz,VP of Learning and Perception Research,2013,Germany,PhD Max-Planck-Institut fuer Informatik,University College London,Leads LPR computer vision and deep learning team,none documented
Ming-Yu Liu,VP of Cosmos Lab Research,2016,Taiwan,PhD University of Maryland College Park,Mitsubishi Electric Research Labs,IEEE Fellow; world foundation models and GauGAN,none documented
Sanja Fidler,VP of AI Research,2018,Slovenia,PhD University of Ljubljana,University of Toronto and Vector Institute,Leads Spatial Intelligence (Toronto AI) Lab; co-founded Vector Institute,Immigrant from Slovenia who built academic career abroad
Bryan Catanzaro,VP of Applied Deep Learning Research,2016,USA,PhD UC Berkeley,Baidu,Created cuDNN; leads ADLR and open model program,none documented
Aaron Lefohn,VP of Graphics Research,,USA,PhD UC Davis,Intel and Pixar,Led research behind DLSS and RTX path tracing,none documented
Arash Vahdat,Research Director (Generative AI),2019,Iran,PhD Simon Fraser University,D-Wave Systems,Leads GenAIR team; diffusion model research,Immigrant from Iran
Pavlo Molchanov,Research Director,2015,Ukraine,PhD Tampere University of Technology,,Leads deep learning efficiency team,Immigrant from Ukraine
Michael Garland,Senior Director of Research,2006,USA,PhD Carnegie Mellon University,University of Illinois faculty,Early NVIDIA Research member; parallel programming systems,none documented
Jonathan Cohen,VP of Applied Research,,USA,,Apple,Co-author of cuDNN; leads BioNeMo and Parabricks,none documented
Mohammad Shoeybi,Senior Director of Applied Research,,Iran,PhD Stanford University,DeepMind and Baidu,Led Megatron-LM large-scale training framework,Immigrant from Iran
Oleksii Kuchaiev,Senior Director of Applied Research,,Ukraine,PhD UC Irvine,Apple and Microsoft,Grew NeMo from one person; leads Nemotron post-training,Immigrant from Ukraine
Boris Ginsburg,Research Director,,,,,Key contributor to NeMo speech and LARS/LAMB optimizers (unverified title),none documented
Andrew Tao,Distinguished Engineer,,USA,MS Stanford University,,Manages Computer Vision team in ADLR,none documented
Guilin Liu,Research Scientist,2017,China,PhD George Mason University,,Partial convolutions for image inpainting,none documented
Paulius Micikevicius,Distinguished Engineer,2007,Lithuania,PhD University of Central Florida,Armstrong Atlantic State University faculty,Lead author of Mixed Precision Training paper,Immigrant from Lithuania
Tero Karras,Senior Distinguished Research Scientist,2009,Finland,Helsinki University of Technology,,Primary author of StyleGAN family,none documented
Timo Aila,Senior Distinguished Research Scientist,2007,Finland,Helsinki University of Technology,,Ray tracing and StyleGAN; PantaRay renderer used in Avatar,none documented
