name,title,year_joined,origin_country,education,prior_company,notable,documented_adversity
Greg Joswiak,SVP Worldwide Marketing,1986,USA,BS Electrical Engineering University of Michigan,,Leads Apple worldwide marketing; succeeded Phil Schiller in 2020,none documented
John Ternus,SVP Hardware Engineering,2001,USA,BS Mechanical Engineering Cornell University,,Leads Apple hardware engineering since 2021,none documented
Sabih Khan,Chief Operating Officer,1995,India,BS Economics & Mechanical Engineering Tufts; MS Mechanical Engineering RPI,GE Plastics,Became Apple COO in 2025; led global supply chain,Born in Moradabad India; immigrant to USA
Johny Srouji,Chief Hardware Officer,2008,Israel,BS & MS Computer Science Technion,Intel; IBM,Led Apple silicon program; named Chief Hardware Officer 2026,Arab-Israeli from Haifa; minority background
Tim Millet,VP Platform Architecture,2007,,,,Leads SoC architecture for Apple silicon M-series,none documented
Adrian Perica,VP Corporate Development,2009,,,Goldman Sachs,Leads Apple acquisitions and corporate development,none documented
Bud Tribble,VP Software Technology,2002,USA,MD/PhD Stanford University,NeXT; Sun Microsystems,Original Macintosh team member; longtime Apple software leader,none documented
Bob Borchers,VP Worldwide Product Marketing,2009,,,Dolby; Google,Returned to Apple; oversees product marketing,none documented
Kaiann Drance,VP Worldwide Product Marketing,,,,,iPhone product marketing leader,none documented
Kevin Lynch,VP Technology,2013,USA,,Adobe,Leads Apple Watch and health technology; ex-Adobe CTO,none documented
Kristin Huguet Quayle,VP Worldwide Communications,,,,,Leads Apple corporate communications,none documented
Kristina Raspe,VP Global Real Estate & Facilities,,,,,Leads Apple real estate and facilities,none documented
Lisa Jackson,VP Environment Policy & Social Initiatives,2013,USA,BS Chemical Engineering Tulane; MS Chemical Engineering Princeton,US EPA,Former EPA Administrator; first African American to lead EPA,Adopted at birth; grew up in African American neighborhood in New Orleans
Oliver Schusser,VP Apple Music & International Content,,,,,Leads Apple Music and international content,none documented
Sebastien Marineau-Mes,VP Software,,Canada,,BlackBerry,Software leader; worked on Siri and intelligence,none documented
Susan Prescott,VP Worldwide Developer Relations & Enterprise Marketing,2003,,,,Leads developer relations and enterprise marketing,none documented
Todd Teresi,VP Advertising Platforms,,,,,Leads Apple advertising platforms,none documented
Tor Myhren,VP Marketing Communications,2016,,,Grey Group,Leads Apple advertising and creative; ex-Grey chief creative officer,none documented
Isabel Ge Mahe,VP & Managing Director Greater China,2017,China,BASc & MEng Electrical Engineering Simon Fraser University,,First managing director of Apple Greater China,Born in China; immigrant to Canada then USA
Andreas Wendker,VP Software Engineering,,,,,Software engineering leader,none documented
Cheryl Thomas,VP Software Engineering Operations,,,,,Leads software engineering operations,none documented
Jon Andrews,VP Core OS Software Engineering,,,,,Leads Core OS software engineering,none documented
