name,title,year_joined,origin_country,education,prior_company,notable,documented_adversity
Jeff Dean,Chief Scientist Google DeepMind and Google Research,1999,USA,PhD computer science University of Washington; BS University of Minnesota,DEC Western Research Lab,Co-creator of MapReduce BigTable Spanner TensorFlow; co-founder Google Brain,none documented
Sanjay Ghemawat,Senior Fellow Systems Infrastructure,1999,India,PhD MIT,DEC Systems Research Center,Co-creator of MapReduce Google File System BigTable Spanner; longtime collaborator of Jeff Dean,none documented
Ashish Vaswani,Former research scientist Google Brain,2016,India,PhD University of Southern California; BIT Mesra,,Lead author of "Attention Is All You Need" (Transformer); later co-founded Adept and Essential AI,none documented
Noam Shazeer,VP Engineering and Gemini co-lead,2000,USA,BS math/CS Duke University,,Transformer co-author; MoE and mesh-tensorflow work; co-founded Character.AI then returned to Google,none documented
Niki Parmar,Former research scientist Google Brain,2016,India,MS University of Southern California; Pune Institute of Computer Technology,,Transformer co-author; later co-founded Adept and Essential AI,none documented
Jakob Uszkoreit,Former research scientist Google Brain,,Germany,Studied at Stanford and TU Berlin,,Transformer co-author; chose the name "Transformer"; founded Inceptive,none documented
Llion Jones,Former software engineer Google,2012,UK,MSc University of Birmingham,Delcam; YouTube,Transformer co-author; co-founded Sakana AI in Tokyo,none documented
Aidan Gomez,Former Google Brain intern,2017,Canada,BS University of Toronto; studied at University of Oxford,,Transformer co-author at age 20; co-founder and CEO of Cohere,none documented
Lukasz Kaiser,Former research scientist Google Brain,,Poland,PhD RWTH Aachen,,Transformer co-author; Tensor2Tensor; later joined OpenAI,none documented
Illia Polosukhin,Former software engineer Google,2014,Ukraine,Studied applied mathematics in Kharkiv,,Transformer co-author; co-founder and CEO of NEAR Protocol; ran Ukraine aid fund,Grew up in Kharkiv Ukraine; founded Unchain Fund for those affected by the war in Ukraine
Oriol Vinyals,VP of Research and Gemini co-lead Google DeepMind,2016,Spain,PhD UC Berkeley,,Seq2Seq Pointer Networks AlphaStar; Gemini technical lead,none documented
Quoc V. Le,Google Fellow Google DeepMind,2011,Vietnam,PhD Stanford University; BSc Australian National University,,Founding member Google Brain; seq2seq doc2vec neural architecture search; led cat-recognition breakthrough,Born in rural Huong Thuy Vietnam; moved abroad for education
Koray Kavukcuoglu,CTO Google DeepMind,2012,Turkey,PhD New York University,,Led WaveNet AlphaGo AlphaFold work; DeepMind CTO,none documented
John M. Jumper,Director Google DeepMind,2017,USA,PhD University of Chicago; MPhil University of Cambridge; BS Vanderbilt,,Led AlphaFold2; 2024 Nobel Prize in Chemistry,none documented
David Silver,Former Principal Research Scientist Google DeepMind,2013,UK,PhD University of Alberta; studied at University of Cambridge,,Led AlphaGo AlphaZero; 2019 ACM Prize in Computing; FRS,none documented
Pushmeet Kohli,VP of Research Google DeepMind,2017,India,PhD Oxford Brookes University,Microsoft Research,Heads Science unit; oversaw AlphaFold AlphaEvolve SynthID,none documented
Aja Huang,Senior Staff Research Scientist Google DeepMind,2012,Taiwan,PhD National Taiwan Normal University,,Lead programmer of AlphaGo; major author AlphaGo Zero,none documented
Julian Schrittwieser,Former Staff Software Engineer Google DeepMind,2013,Austria,,,Co-designer of MuZero; AlphaGo AlphaZero author; later joined Anthropic,none documented
Ian Goodfellow,Research scientist Google DeepMind,2019,USA,PhD Universite de Montreal,Apple; OpenAI,Inventor of Generative Adversarial Networks (GANs),none documented
Vint Cerf,VP and Chief Internet Evangelist,2005,USA,PhD UCLA; BS Stanford,MCI; DARPA,Co-designer of TCP/IP; "Father of the Internet"; Turing Award,Has a hearing impairment and is a longtime disability-access advocate
Urs Holzle,Google Fellow,1999,Switzerland,PhD Stanford University,,Eighth Google employee and first VP of Engineering; built Google infrastructure,none documented
Amin Vahdat,SVP and Chief Technologist AI and Infrastructure; Fellow,2010,Iran,PhD UC Berkeley,UC San Diego (professor),Leads TPU custom silicon and data-center infrastructure,none documented
Norman Jouppi,VP and Engineering Fellow,2013,USA,PhD Stanford University,HP Labs; DEC,Tech lead for Google Tensor Processing Units (TPUs),none documented
Marian Croak,VP Engineering and Responsible AI,2014,USA,PhD University of Southern California,AT&T Labs,Pioneered Voice over IP; over 200 patents; leads Responsible AI,One of few Black women honored in the National Inventors Hall of Fame
Blaise Aguera y Arcas,VP and Fellow; CTO of Technology and Society,2014,USA,Princeton University,Microsoft (Bing/Photosynth),Invented Federated Learning; on-device ML for Android and Pixel,none documented
Krishna Bharat,Distinguished Scientist (returned 2019),1999,India,PhD Georgia Tech,,Creator of Google News,none documented
Ben Gomes,VP Learning and Sustainability,1999,India (born Tanzania),PhD UC Berkeley,,Early Google Fellow; led Google Search for years,Born to an Indian family in Tanzania; immigrant background
Amit Singhal,Former SVP and Google Fellow,2000,India,PhD Cornell University; MS University of Minnesota,AT&T Labs,Led Google Search for 15 years; rebuilt the ranking system,Grew up in Uttar Pradesh India; immigrant to the US
Geoffrey Hinton,Former VP and Engineering Fellow Google Brain,2013,UK,PhD University of Edinburgh,University of Toronto,"Godfather of AI"; 2018 Turing Award; 2024 Nobel Prize in Physics,none documented
Samy Bengio,Former research scientist and Google Brain manager,2007,France/Switzerland,PhD Universite de Montreal,IDIAP,Google Brain co-founder; later research director at Apple,none documented
Greg Corrado,Distinguished Scientist,2011,USA,PhD Stanford University,,Co-founder of Google Brain; led Health AI,none documented
Rajat Monga,Former engineering director,2009,India,MS Stony Brook University; IIT Delhi,,Co-founder and lead of TensorFlow; founding Google Brain member,none documented
Anelia Angelova,Principal Scientist Google DeepMind,,Bulgaria,PhD California Institute of Technology,,Leads Vision and Language team; computer vision research,none documented
Mohammad Norouzi,Former Senior Staff Research Scientist Google Brain,2016,Iran,PhD University of Toronto,,Led Imagen; NeurIPS 2022 Outstanding Paper; co-founded Ideogram,none documented
Barret Zoph,Former research scientist Google Brain,,USA,,,Pioneered Neural Architecture Search with reinforcement learning,none documented
Corinna Cortes,VP Google Research (New York),2003,Denmark,PhD University of Rochester,AT&T Bell Labs,Co-inventor of Support Vector Machines with Vapnik,none documented
Mehryar Mohri,Head of Learning Theory team Google Research,,Iran (raised France),PhD; studied at Ecole Polytechnique and ENS,AT&T Labs; Courant Institute NYU,Machine learning theory; weighted automata algorithms,none documented
Yossi Matias,VP Engineering and Research; Head of Search and AI,,Israel,PhD Tel Aviv University,,Founder of Google Israel R&D; Search and AI research leader,none documented
Jay Yagnik,VP and Engineering Fellow Google AI,,India,,,Leads large parts of Google AI research,none documented
Maggie Johnson,VP Education and University Programs,2006,USA,PhD; Stanford lecturer,Stanford University,Leads Google education and university programs,none documented
Hartmut Neven,VP and Founder Google Quantum AI,2006,Germany,PhD,,Founded Quantum AI lab in 2012; coined "Quantum Machine Learning",none documented
Sebastian Thrun,Former VP and Fellow; founder of Google X,2007,Germany,PhD University of Bonn,Stanford University,Founded Google X and the self-driving car (Waymo) project,none documented
Andrew Ng,Former lead Google Brain,2011,UK (raised Hong Kong/Singapore),PhD UC Berkeley,Stanford University,Founding lead of Google Brain; co-founded Coursera,none documented
Hiroshi Lockheimer,Former SVP Platforms and Ecosystems (Android Chrome),2006,USA (raised Japan),,Be Inc; Danger,Scaled Android to the world's most-used platform,none documented
Prabhakar Raghavan,Former SVP and Chief Technologist,2012,India,PhD UC Berkeley; IIT Madras,Yahoo; IBM Research,Led Google Search Assistant Ads; information-retrieval researcher,none documented
Jen Fitzpatrick,SVP Core,1999,USA,Stanford University,,One of Google's earliest female engineers; led Maps and Core,none documented
Mike Schuster,Former research scientist Google Brain,,Germany,PhD Nara Institute of Science and Technology,,Co-led Google Neural Machine Translation (GNMT); BiRNNs,none documented
Yonghui Wu,Distinguished Scientist,,China,,,Lead of Google Neural Machine Translation (GNMT); PaLM and Gemini work,none documented
Jacob Devlin,Former research scientist Google AI,,USA,,Microsoft Research,Lead author of BERT; later joined OpenAI and Google DeepMind,none documented
Ming-Wei Chang,Research scientist Google DeepMind,,Taiwan,PhD University of Illinois Urbana-Champaign,,BERT co-author; natural language understanding research,none documented
Kristina Toutanova,Research scientist Google DeepMind,,Bulgaria,PhD Stanford University,Microsoft Research,BERT co-author; NLP research,none documented
Anna Patterson,Former VP of Engineering AI,2004,USA,PhD University of Illinois,Cuil; Recall,Founded Gradient Ventures; led AI engineering,none documented
Nando de Freitas,Former research director Google DeepMind,2014,Zimbabwe,PhD; studied at University of the Witwatersrand,University of Oxford; University of British Columbia,Led generative model research; later VP at Microsoft AI,Born in Zimbabwe; of Portuguese descent
Timnit Gebru,Former co-lead Ethical AI team,2018,Eritrea/Ethiopia,PhD Stanford University,Microsoft Research,Co-authored "Stochastic Parrots"; founded DAIR after departure,Fled Ethiopia at 15 during the Eritrean-Ethiopian war; received US political asylum
Margaret Mitchell,Former founder and co-lead Ethical AI team,2016,USA,PhD University of Aberdeen,Microsoft Research,Founded Google Ethical AI team; later chief ethics scientist at Hugging Face,none documented
Fei-Fei Li,Former VP and Chief Scientist AI/ML Google Cloud,2017,China,PhD California Institute of Technology; BS Princeton,Stanford University,Created ImageNet; "Godmother of AI",Immigrated to the US at 15 with little English; ran the family dry-cleaning business
Kathryn S. McKinley,Distinguished Engineer,,USA,PhD Rice University,University of Texas at Austin; Microsoft Research,Compiler and runtime systems; cloud capacity elasticity,none documented
