name,title,year_joined,origin_country,education,prior_company,notable,documented_adversity
Mark Russinovich,CTO and Technical Fellow Microsoft Azure,2006,Spain,PhD computer engineering Carnegie Mellon University,Winternals,Created Sysinternals tools; author; Azure security leader; born in Salamanca Spain of Croatian descent,Immigrant; born in Spain and emigrated to the US as a child
Charlie Bell,Executive Vice President Security,2021,,,Amazon Web Services,Leads Microsoft Secure Future Initiative; former senior AWS engineering leader,none documented
Igor Tsyganskiy,Executive Vice President Microsoft Research,2023,,,Bridgewater Associates,Former Microsoft CISO; previously Bridgewater CTO,none documented
Pavan Davuluri,President Windows and Devices,,India,IIT Madras; MS University of Maryland,,Leads Windows and Surface; 23+ years at Microsoft,Immigrant from India to the US
Jay Parikh,Executive Vice President CoreAI Platform and Tools,2025,,,Lacework; Facebook,Former global head of engineering at Facebook; leads CoreAI division,none documented
Ryan Roslansky,Executive Vice President LinkedIn and Office,,,,LinkedIn,LinkedIn CEO; leads Work Experiences Group across M365,none documented
Charles Lamanna,President Copilot Agents and Platform,,,,,Leads Dynamics 365 and Copilot business apps,none documented
Eric Boyd,Corporate Vice President Azure AI Platform,,,,,Leads Azure AI Platform including Azure OpenAI Service and Azure Machine Learning,none documented
Amy Hood,Executive Vice President and Chief Financial Officer,2002,,MBA Harvard Business School,Goldman Sachs,CFO since 2013,none documented
Judson Althoff,Executive Vice President and Chief Commercial Officer,2013,,,Oracle,Leads worldwide commercial business,none documented
Takeshi Numoto,Executive Vice President and Chief Marketing Officer,,Japan,,,Chief Marketing Officer,none documented
Christopher Young,Executive Vice President Business Development Strategy and Ventures,2020,,,McAfee,Former McAfee CEO,none documented
Asha Sharma,Executive Vice President and CEO Microsoft Gaming,,,,Meta; Instacart,Former head of CoreAI product; previously scaled platforms at Meta and Instacart,none documented
Matt Booty,Executive Vice President and Chief Content Officer,,,,,Oversees Xbox Bethesda Activision Blizzard and King studios,none documented
Rajesh Jha,Executive Vice President Experiences and Devices,1990,India,,,Led M365 and Office product group; retired 2026 after 35+ years,Immigrant from India to the US
Jared Spataro,Corporate Vice President Microsoft 365 (AI at Work),2006,,,,Long-time M365 marketing and product leader,none documented
Deepak Bansal,Corporate Vice President and Technical Fellow Azure Core,2008,India,,,Founding member of Azure; leads Azure networking; 50+ patents,Immigrant from India to the US
Eric Horvitz,Chief Scientific Officer and Technical Fellow,1993,,PhD and MD Stanford University,,First Microsoft Chief Scientific Officer; AI researcher; former AAAI president,none documented
Peter Lee,President Microsoft Science,2010,,PhD University of Michigan,Carnegie Mellon University; DARPA,Led Microsoft Research; healthcare and science research leadership,none documented
Christopher Bishop,Technical Fellow and Director Microsoft Research AI for Science,1997,United Kingdom,PhD theoretical physics University of Edinburgh,,Author of Pattern Recognition and Machine Learning,none documented
Doug Burger,Technical Fellow,2008,,PhD computer science University of Wisconsin-Madison,University of Texas at Austin,Led Project Catapult FPGA datacenter acceleration,none documented
Lidong Zhou,Corporate Vice President and Managing Director Microsoft Research Asia,,China,PhD computer science Cornell University,,Chief Scientist Asia Pacific R&D; distributed systems researcher,Immigrant from China; studied abroad
Donald Kossmann,Distinguished Scientist and Managing Director Microsoft Research Redmond,,Germany,PhD Technical University of Aachen,ETH Zurich,Database systems researcher,none documented
Sriram Rajamani,Distinguished Scientist and Managing Director Microsoft Research India,,India,PhD UC Berkeley; BEng College of Engineering Guindy,,Co-creator of SLAM software verification tool,Immigrant from India; studied abroad
Aditya Nori,Lab Director Microsoft Research Cambridge,,India,,,Leads health and AI research at Cambridge lab,none documented
Abigail Sellen,Distinguished Scientist and Lab Director Microsoft Research Cambridge,,,PhD cognitive science UC San Diego,,Human-computer interaction researcher,none documented
Susan Dumais,Technical Fellow and Managing Director Microsoft Research New England,1997,,PhD Indiana University,Bell Labs,Information retrieval pioneer; co-developer of Latent Semantic Indexing,none documented
Jaime Teevan,Technical Fellow and Chief Scientist Microsoft AI,2006,,PhD MIT,,Productivity and future of work research,none documented
Victor Bahl,Technical Fellow and Chief Technology Officer Azure for Operators,,,PhD University of Massachusetts Amherst,,Wireless and networking researcher,none documented
Raghu Ramakrishnan,Technical Fellow and CTO for Data,2012,India,PhD University of Texas at Austin; BTech IIT Madras,University of Wisconsin-Madison; Yahoo,Database systems researcher and textbook author,Immigrant from India to the US
Johannes Gehrke,Technical Fellow,2017,Germany,PhD University of Wisconsin-Madison,Cornell University,Data systems and machine learning researcher,Immigrant from Germany to the US
Jennifer Tour Chayes,Former Technical Fellow and Managing Director Microsoft Research New England,1997,United States,PhD mathematical physics Princeton University,UCLA,Founded MSR New England and New York City; now dean UC Berkeley,Child of Iranian immigrants
Dave Cutler,Senior Technical Fellow,1988,,,Digital Equipment Corporation,Lead architect of Windows NT; National Medal of Technology recipient,none documented
Anders Hejlsberg,Technical Fellow,1996,Denmark,,Borland,Lead architect of C# and TypeScript; created Turbo Pascal and Delphi,Immigrant from Denmark to the US
Butler Lampson,Technical Fellow,1995,,PhD Harvard University,Xerox PARC; Digital Equipment Corporation,Turing Award winner 1992; computer systems pioneer,none documented
Erich Gamma,Technical Fellow,2011,Switzerland,PhD University of Zurich,IBM,Co-author of Design Patterns (Gang of Four); led Visual Studio Code,none documented
Don Box,Former Technical Fellow,2002,,,DevelopMentor,Co-creator of SOAP; XML and web services pioneer,none documented
John Shewchuk,Technical Fellow,,,,,Distributed systems and cloud architecture,none documented
Jeffrey Snover,Former Technical Fellow,1999,,,,Inventor of Windows PowerShell,none documented
David DeWitt,Former Technical Fellow,2008,,PhD University of Michigan,University of Wisconsin-Madison,Database systems researcher; led Jim Gray Systems Lab,none documented
Alex Kipman,Former Technical Fellow,2001,Brazil,Rochester Institute of Technology,,Inventor of Kinect and HoloLens,Immigrant from Brazil to the US
Eric Traut,Former Technical Fellow,,,,Connectix,Virtualization expert; led Hyper-V and created Pyright,none documented
Marcus Fontoura,Former Technical Fellow,,Brazil,PhD computer science PUC-Rio,Google; Yahoo,Azure compute and cluster management,Immigrant from Brazil to the US
Michael Freedman,Technical Fellow,,,,,Distributed systems researcher,(unverified)
Kevin Scott,Executive Vice President and Chief Technology Officer,2017,United States,BS Lynchburg College; MS Wake Forest University,LinkedIn; Google,Author of Reprogramming the American Dream; AI strategy leader,First-generation college graduate from working-class rural Virginia town of 250
Sebastien Bubeck,Former Vice President of Applied Research and Distinguished Scientist,2014,France,PhD University of Lille,Princeton University,Led Machine Learning Foundations; co-authored Sparks of AGI; left for OpenAI in 2024,Immigrant from France to the US
Bret Arsenault,Former Chief Information Security Officer,1990,,,,CISO for 14 years; founded Secure Future Initiative,none documented
Phil Spencer,Former CEO Microsoft Gaming,1988,,,,Led Xbox and Microsoft Gaming for over a decade; retired 2026 after 38 years,none documented
Sarah Bond,Former President of Xbox,2017,,,T-Mobile,Led Xbox platform,none documented
