name,title,year_joined,origin_country,education,prior_company,notable,documented_adversity
Rose Castanares,President TSMC Arizona,1998,,,,Joined 1998; former SVP Business Management North America; appointed AZ president Oct 2024,none documented
Rick Cassidy,Former Chairman TSMC Arizona / Executive Advisor,1997,USA,West Point (engineering),US Army,27-year veteran; former President/CEO TSMC North America; stepped down as AZ chairman Jul 2025; retiring Jan 2026,none documented
Brian Harrison,Former President TSMC Arizona,,,,Intel; GlobalFoundries,Led Fab 21 Phoenix startup; retired Dec 2024; later joined ElectraMet board,none documented
Y.L. Wang,VP Operations / former CEO TSMC Arizona,1992,,,,Joined 1992; led 5nm-era nodes; AZ CEO Apr 2024-Oct 2025; returned to Taiwan as operations exec,none documented
Ray Chuang,CEO and Director TSMC Arizona,,,,Intel; Vishay,Senior fab director Fab 18A from 2020; oversaw 5nm/4nm mass production; AZ CEO from Oct 2025,none documented
Makoto Onodera,President TSMC Japan,1997,Japan,MBA Willamette University,Applied Materials Japan,Founded TSMC Japan in 1997; president since 2006,none documented
Yuichi Hotta,President/CEO JASM (TSMC Kumamoto),,Japan,,,Leads JASM Kumamoto fab ramp and Phase 2 expansion,none documented
Roger Luo,President TSMC China and President TSMC Nanjing,1994,Taiwan,MBA Peking University; BS Control Engineering NCTU,ITRI-ERSO; Twinhead,Head of China sales since 2003; President TSMC Nanjing since 2016; TSMC China since 2020,none documented
Christopher Thomas,President TSMC Europe,2026,USA,MBA & MA Stanford; BS Wharton,McKinsey; Intel (President Intel China),Founder of Integrated Insights; Brookings senior fellow; began career at Blackstone,none documented
Christian Koitzsch,President ESMC (TSMC Dresden),2024,Germany,PhD Physics Universite de Neuchatel,Bosch (Dresden fab plant manager),Leads TSMC's first European fab (Fab 24) in Dresden,none documented
Gunnar Thomas,General Counsel and Head of HR ESMC / TSMC EMEA,,,,,Oversees HR and legal for TSMC EMEA region; involved in ESMC founding,none documented
H.-S. Philip Wong,Chief Scientist TSMC,2018,Hong Kong,PhD EE Lehigh University; BS Univ of Hong Kong,IBM T.J. Watson; Stanford (professor),VP Corporate Research 2018-2020; Chief Scientist advisory role since 2020,none documented
Douglas C.H. Yu,Former VP Pathfinding for System Integration / Distinguished Fellow,1994,,,,Led 3DFabric (CoWoS; InFO; SoIC); NAE member 2023; sole Distinguished Fellow; retired Jul 2025,none documented
L.C. Lu,VP R&D / Design & Technology Platform; Senior Fellow,2000,,PhD CS Yale; MS CS NTHU; BS EE NTU,,Named TSMC Senior Fellow 2025; 100+ patents; MIT Engineering advisory board,none documented
T.S. Chang,TSMC Fellow and VP Operations / Advanced Technology and Mask Engineering,1995,,PhD/MS/BS EE National Tsing Hua University,,Elected TSMC Fellow 2013; 52 patents; key technology-to-production transfer role,none documented
Wei-Jen Lo,Former SVP Corporate Strategy Development,2004,,,,Pivotal in EUV and 5nm/3nm/2nm ramp; longest-serving exec; retired Jul 2025 at 75,none documented
Jack Sun,Former CTO and VP R&D,1997,,PhD Univ of Illinois Urbana-Champaign,IBM Research; Sematech,CTO/VP R&D 2006-2018; one of TSMC R&D leaders; later VP/dean at NYCU; retired 2018,none documented
Burn-Jeng Lin,Former VP / Senior Director (lithography),2000,Taiwan,PhD EE Ohio State University; BS EE NTU,IBM,Father of immersion lithography; one of TSMC R&D Six Knights; later dean at NTHU,none documented
Shang-yi Chiang,Former Co-COO / SVP R&D,1997,,,Hewlett-Packard; Texas Instruments,Led R&D from 0.25 micron to 65nm; retired end of 2013,none documented
Chenming Hu,Former Chief Technology Officer,2001,,,UC Berkeley (professor),TSMC's first-ever CTO (2001); FinFET pioneer; took leave from UC Berkeley,none documented
Mong-Song Liang,Former R&D module leader (copper process),,Taiwan,PhD EE,,One of TSMC R&D Six Knights; led 130nm copper module; later joined SMIC,none documented
Konrad Young,Former R&D Director,,,,,One of six core engineers in TSMC's copper-process breakthrough,none documented
Lora Ho,SVP Human Resources / former CFO,1999,,,,CFO and Spokesperson 2003-2019; later SVP Europe & Asia Sales; now SVP HR,none documented
