name,title,year_joined,origin_country,education,prior_company,notable,documented_adversity
Charlie Kawwas,President Semiconductor Solutions Group,2014,,B.Eng./M.S./Ph.D. Electrical & Computer Engineering Concordia University,LSI (head of Worldwide Sales); earlier Nortel,Former COO; oversees 15 semiconductor divisions; Concordia Alumnus of the Year 2020,none documented
Ram Velaga,President Infrastructure Software Group,2012,,M.S. Industrial Engineering Penn State; MBA Cornell,Cisco Systems (VP Product Management Data Center),Former SVP/GM Core Switching Group; holds communications patents,none documented
Frank Ostojic,SVP & GM ASIC Products Division,1996,,B.S. EE Brigham Young University; M.S. EE Colorado State,HP/Agilent (design engineer),Leads custom ASIC business for ML/storage/networking,none documented
Mark Gonikberg,SVP & GM Wireless and Broadband Communications,1999,,B.S. Leningrad Electro-Technical Institute of Communications,AltoCom (co-founder & VP Engineering); earlier Telebit/General Magic,Named inventor on 58 US patents,none documented
Vijay Janapaty,VP & GM Physical Layer Products Division,,India,B.Tech EE IIT Madras; M.S. EE Vanderbilt; MBA UC Berkeley Haas,LSI (VP Marketing ASIC Products),Leads physical interconnect and automotive Ethernet,none documented
Hassan Hussain,VP & GM Motion Control Products Division,2006,,,HP/Agilent; earlier Motorola Semiconductor (process engineer),Leads motion control products for industrial automation,none documented
Jeff Hoogenboom,VP & GM Emulex Connectivity Division,,,,Emulex (SVP Worldwide Sales); earlier Cadence/LSI/Intel,Leads Fibre Channel and Ethernet adapter business,none documented
Near Margalit,VP & GM Optical Systems Division,,,Ph.D. Optoelectronics UC Santa Barbara,Intel Silicon Photonics (CTO); earlier Source Photonics CEO; founded Zaffire,Leads silicon photonics and optical interconnect,none documented
Francis Khor,VP & GM Optoelectronic Products Division,,,,Avago Technologies,Leads optoelectronic products division (unverified bio detail),none documented
Rich Nelson,SVP & GM Set-Top Box and Cable Modem Products Division,1995,,B.S. EE Rensselaer Polytechnic Institute; MBA Pepperdine,LSI (US consumer accounts sales manager),Leads worldwide set-top box and cable modem SoC strategy,none documented
Dennis Makishima,VP & Co-GM Brocade Storage Networking Division,,,Studied EE/Computer Engineering UC Santa Barbara,Brocade (VP Engineering); earlier HP/Agilent/Adaptec/Loral,Leads Brocade SAN storage networking business,none documented
Yuan Xing Lee,VP Central Engineering,2016,China,Ph.D. EE Xidian University China,Avago/LSI (VP Engineering Data Controller Division),Leads core technology libraries and foundation IP,none documented
Boon Chye Ooi,SVP Global Operations,2009,,University of Phoenix degree,Xilinx (SVP Worldwide Operations); earlier Intel (VP),Manages worldwide manufacturing and supply chain,none documented
Alan Davidson,Chief Information Officer,2005,,B.S. Computing Science University of the West of Scotland,Avago/Agilent/HP (IT roles),CIO since December 2020,none documented
Andy Nallappan,Former CTO & Head of Software Business Operations,2016,,B.S. Mechanical Eng University of Madras; M.S. Manufacturing Eng UT El Paso,Avago (CIO),Former Broadcom CTO/CSO; now President & COO Cloud Software Group,none documented
Greg Lotko,SVP & GM Mainframe Software Division,2018,,B.S. Computer Science Clarkson University,CA Technologies (GM Mainframe); earlier 29 years at IBM,Leads mainframe software DevOps/AIOps business,none documented
Clayton Donley,VP & GM Identity Management Security Division,,,,CA Technologies (SVP Engineering); earlier Oracle/founded OctetString,Leads identity and access management software,none documented
Adam Bromwich,VP & GM Symantec Endpoint Security Division,2019,,B.A. Architecture Princeton; MBA Yale,Symantec (SVP Cyber Security Services),Leads Symantec cyber defense and STAR research team,none documented
Matt Cooke,VP & GM Payment Security Division (Arcot),,,B.A. Economics Boston College; MBA Babson,CA Technologies (SVP Acquisition Integration); co-founded Mailgun,Leads Arcot payment fraud prevention FinTech business,none documented
Serge Lucio,VP & GM Agile Operations Division,,France,M.S. Computer Science Telecom Nancy France,CA Technologies (SVP Product & Strategy); earlier Rational/IBM,Holds patents in automated software quality,none documented
Krish Prasad,SVP & GM VMware Cloud Foundation Division,2023,,,VMware (SVP/GM Cloud Infrastructure Business Group); earlier HPE/BMC,Leads multi-cloud infrastructure software portfolio,none documented
