name,title,year_joined,origin_country,education,prior_company,notable,documented_adversity
Mohammed K. Al-Mulhim,Senior Vice President; President & CEO Aramco Trading Company,1990,Saudi Arabia,BS Industrial Engineering KFUPM; IMD Switzerland,,Promoted to SVP April 2024; 30+ years in oil and gas,none documented
Ahmed M. Alkhunaini,Senior Vice President of Sales Trading and Supply Planning,,Saudi Arabia,,,Aramco Trading board member; previously led European and UK operations,none documented
Nawaf K. Al-Dabal,Senior Vice President of Group Finance & Development Support; SVP & Treasurer,1997,Saudi Arabia,BS Finance KFUPM; MBA Rice University; MA Graduate Institute Geneva,,Led inaugural international Sukuk issuance; founded Altamayyuz Academy,none documented
Khalid H. Al-Dabbagh,Senior Vice President of Finance Strategy & Development (former),,Saudi Arabia,,,Appointed SVP Sept 2018; later SABIC chairman,none documented
Muhammad M. Al-Saggaf,Senior Vice President of Operations and Business Services (former),,Saudi Arabia,BS Mathematics KFUPM; MS/PhD Geophysics MIT; MBA KFUPM,,Now President of KFUPM; former KAPSARC president; SEG and SPE award winner,none documented
Mohammed Al-Shammary,Vice President of Procurement and Supply Chain Management,1981,Saudi Arabia,BS Petroleum Engineering USC,,Former CEO Aramco Gulf Operations Company,none documented
Motaz A. Al-Mashouk,Vice President of Engineering Services,,Saudi Arabia,BS/PhD Imperial College London; MBA MIT,,Oversaw KAUST and King Abdulaziz Center projects,none documented
Dawood Al-Dawood,Vice President of Northern Area Oil Operations,,Saudi Arabia,BS Petroleum Engineering University of Kansas; MBA MIT Sloan,,Former CEO Vela International and Aramco Services Company; S&P Platts Lifetime Achievement 2020,none documented
Olivier Gerard Thorel,Vice President Chemicals and Low Carbon Hydrogen,2018,France,Ecole Polytechnique; MA Finance Universite Paris-Dauphine; MBA INSEAD,Shell,27 years at Shell before Aramco; SABIC board member,none documented
Ahmed S. Al-Mulhem,President & CEO Aramco Americas,,Saudi Arabia,Stanford Graduate School of Business,PRefChem,Leads Aramco's US operations in Houston,none documented
Anwar A. Al-Hejazi,CEO S-OIL; former President Aramco Asia,,Saudi Arabia,,,Appointed S-OIL CEO 2023; awarded Korean Gold Tower Order of Industrial Service Merit,none documented
Jeff Rinker,President & CEO Motiva Enterprises,,United States,,,Leads Aramco's US refining affiliate since July 2022,none documented
Mahdi Aladel,CEO Aramco Ventures,2020,Saudi Arabia,,,Leads Aramco's corporate venturing arm,none documented
Bruce Niven,Chief Investment Officer Aramco Ventures,,,,,Executive Managing Director Strategic Venturing,none documented
Tareq Amin,CEO Aramco Digital (former),2023,,,Rakuten,Ex-Rakuten Mobile chief; appointed Aramco Digital CEO Oct 2023,none documented
Ashraf AlTahini,CEO Aramco Digital,,Saudi Arabia,,,Former head of Aramco EXPEC Advanced Research Center,none documented
Abdullah S. Jum'ah,President & CEO Saudi Aramco (former),,Saudi Arabia,,,Led Aramco 1995-2008; retired Jan 2009,none documented
Khalid A. Al-Falih,President & CEO Saudi Aramco (former),,Saudi Arabia,,,CEO 2009-2015; later Energy Minister and Investment Minister,none documented
