name,title,year_joined,origin_country,education,prior_company,notable,documented_adversity
Franz von Holzhausen,Chief Designer,2008,USA,ArtCenter College of Design (BS Transportation Design),Mazda,Led design of Model S/X/3/Y/Cybertruck/Semi,none documented
Lars Moravy,VP Vehicle Engineering,2010,,Northwestern University (BS Mechanical Engineering),Honda R&D Americas,Oversees thousands of vehicle engineers,none documented
Ashok Elluswamy,VP AI/Autopilot Software,2014,India,College of Engineering Guindy Chennai; Carnegie Mellon (MS Robotics),WABCO Vehicle Control Systems,First Autopilot team hire; AI Day speaker; born to a middle-class family in southern India,Born to a middle-class family in southern India
Andrej Karpathy,Director of AI / Autopilot Vision (former),2017,Slovakia,University of Toronto; UBC (MS); Stanford (PhD),OpenAI,Led Autopilot vision; AI Day 2021 speaker; emigrated from Slovakia to Canada at 15,Emigrated from Slovakia to Canada as a teenager
Milan Kovac,VP Head of Engineering Optimus (former),2016,Belgium,HELB-INRACI Belgium (electrical engineering),SoftKinetic,Led Optimus and Autopilot engineering; AI Day speaker; left 2025,none documented
Konstantinos Laskaris,Principal Motor Designer / Optimus hardware lead,2012,Greece,National Technical University of Athens; Imperial College London (MS),,Lead motor designer; later led Optimus hardware,none documented
Pete Bannon,VP Silicon Engineering (former),2016,USA,University of Massachusetts Amherst (BS Electrical/Computer Engineering),Apple PA Semi,Led custom FSD chip and Dojo silicon; left 2025,none documented
Ganesh Venkataramanan,Senior Director Autopilot Hardware / Dojo lead (former),2016,India,,AMD,Led Dojo D1 chip team; left 2023; founded DensityAI,none documented
Emil Talpes,Hardware Engineer Dojo,,,(unverified),AMD,Dojo D1 chip design team; AI Day presenter,none documented
Debjit Das Sarma,Autopilot Hardware Architect,,,,AMD,Dojo D1 chip design team,none documented
Bill Chang,Principal System Engineer Dojo,,,,IBM Microelectronics; Apple,Dojo system scaling; AI Day 2022 presenter,none documented
Tim Zaman,Head of AI Infrastructure (former),2019,,,,Led ML/AI infra and Dojo deployment; left for Google DeepMind,none documented
Drew Baglino,SVP Powertrain and Energy Engineering (former),2006,,,,Long-time engineering leader; left April 2024,none documented
JB Straubel,Co-founder and CTO (former),2004,USA,Stanford University,,Co-founder; invented core powertrain/battery tech; founded Redwood Materials,none documented
Martin Eberhard,Co-founder and CEO (former),2003,USA,University of Illinois,NuvoMedia,Co-founded Tesla Motors,none documented
Marc Tarpenning,Co-founder / VP Electrical Engineering (former),2003,USA,University of California Berkeley,NuvoMedia,Co-founded Tesla Motors,none documented
Ian Wright,Co-founder (former),2003,New Zealand,,AC Propulsion,Early co-founder; later founded Wrightspeed,none documented
Deepak Ahuja,CFO (former),2008,India,IIT (BHU) Varanasi; Northwestern (MS); Carnegie Mellon (MS Business),Ford,Two-time Tesla CFO (2008-2015; 2017-2019),Immigrant from India
Zachary Kirkhorn,CFO / Master of Coin (former),2010,USA,University of Pennsylvania; Harvard (MBA),McKinsey,CFO 2019-2023,none documented
Jerome Guillen,President Automotive (former),2010,France,ENSTA Paris; University of Michigan (Doctor of Engineering),Daimler / Freightliner,Led Model S and Tesla Semi programs; left 2021,none documented
Jon McNeill,President Global Sales and Service (former),2015,USA,Northwestern University,Enservio,Led global sales; left 2018,none documented
Doug Field,SVP Engineering (former),2013,USA,Purdue University; MIT (MS),Segway / Apple,Led vehicle engineering; later returned to Apple then Ford,none documented
Diarmuid O'Connell,VP Business Development (former),2006,USA,,U.S. State Department,One of longest-serving early execs; left 2017,none documented
Gilbert Passin,VP Manufacturing (former),2009,France,,Toyota / Volvo,Led manufacturing for several years; left 2018,none documented
Joseph Mardall,Director Engineering (former),,UK,University of Cambridge; MIT (MS),McLaren Racing,Led thermal/HVAC engineering for Model 3/Y; left for Zipline,none documented
Daniel Ho,Director Vehicle Programs (former),2013,,,Ford,Led Model 3 program; left for Waymo 2024,none documented
Rohan Patel,VP Public Policy and Business Development (former),2016,,,Obama White House (climate/energy advisor),Led government and regulatory affairs; left April 2024,none documented
Karn Budhiraj,VP Supply Chain,,,University of Michigan (BS Industrial Engineering); MIT (MEng),Apple / Deloitte,Leads electronics and battery supply chain,none documented
Mike Snyder,VP Energy,,,,,Promoted to VP leading Energy segment 2024,none documented
Brandon Ehrhart,General Counsel and Corporate Secretary,,,,,Tesla's top legal officer,none documented
Martin Viecha,VP Investor Relations (former),2017,,,,Built Tesla IR function; left 2024,none documented
Travis Axelrod,Head of Investor Relations,2018,,UC Berkeley Haas (MBA),Goldman Sachs,Succeeded Viecha as IR head,none documented
Omead Afshar,VP / senior operations executive (former),,USA,University of California Irvine (BS Biomedical Engineering),St. Jude Medical,Close Musk aide; oversaw operations; left 2025; born to Iranian parents,Born to Iranian immigrant parents
Bernard Tse,VP and board member (former),2003,,,,Early executive and director (2003-2007),none documented
Malcolm Powell,VP Vehicle Engineering (former),,UK,,Lotus,Early Roadster-era engineering leader,none documented
