name,title,year_joined,origin_country,education,prior_company,notable,documented_adversity
Bill Riley,VP Starship Engineering,2010,,M.Eng Mechanical Engineering Cornell University,Ford Motor / General Motors,Led Cornell Formula SAE team; leads Starship engineering and described Super Heavy booster catch,none documented
Mark Juncosa,VP Vehicle Engineering,2005,,Caltech aeronautics,,Close Musk lieutenant; oversees Falcon Falcon Heavy and Starlink satellite vehicle development,none documented
Jon Edwards,Senior VP Falcon and Dragon,2004,,B.S. and M.S. Aeronautical and Astronautical Engineering Purdue University,,Started as Kestrel engine lead engineer; leads 100+ engineer Falcon team,none documented
Jacob McKenzie,VP Raptor,,,PhD MIT,,Leads Raptor engine development and production after taking over from Will Heltsley,none documented
Stuart Keech,VP Starship Engineering,,,,,Listed as VP of Starship Engineering (unverified),none documented
Jessica Jensen,VP Customer Operations and Integration,2006,,B.S. Aerospace Engineering Virginia Tech,The Aerospace Corporation,Prior Director of Dragon Mission Management; frequent NASA press-conference spokesperson,none documented
Jonathan Hofeller,VP Starlink and Commercial Sales,2007,,B.S. Mechanical Engineering Johns Hopkins; M.S. USC,Raytheon,Leads Starlink and commercial launch business development,none documented
Benjamin Reed,Senior Director Human Spaceflight Programs,,United States,B.S. Mathematics University of Colorado,,Led Commercial Crew program development; born Boulder Colorado,none documented
Sarah Walker,Director Dragon Mission Management,,,,,Frequent SpaceX spokesperson at NASA Dragon mission press conferences,none documented
John Insprucker,Principal Integration Engineer,2006,,,US Air Force,Longtime Falcon 9 webcast host known as the Falcon 9 guy,none documented
Kate Tice,Senior Manager Quality Systems Engineering,,United States,B.S. Industrial Engineering Penn State University,,Emmy-recognized webcast host; NASA Silver Achievement Medal; Penn State 40 Under 40,none documented
Jessie Anderson,Senior Production and Engineering Manager Starship,2015,United States,B.S. Mechanical Engineering UC Merced,Siemens / Procter and Gamble (intern),Webcast host; reported first African-American woman engineer at SpaceX; founded UC Merced women's basketball,Underrepresented-background engineer; humble origin (unverified)
Siva Bharadvaj,Space Operations Engineer / Webcast Host,,United States,,,Indian-American engineer; co-hosted international Falcon 9 webcasts; later Impulse Space,none documented
Lauren Lyons,Senior Engineer / Webcast Host (former),,United States,B.S. Mechanical and Aerospace Engineering Princeton University,,Co-hosted Demo-1 Demo-2 and Falcon Heavy webcasts; later COO Firefly Aerospace,none documented
Anil Menon,Lead Flight Surgeon (former),2018,United States,Emergency medicine physician; Harvard / Stanford,,First SpaceX flight surgeon; started medical program; later NASA astronaut; Kerala/Ukrainian heritage,Children of immigrants (Indian and Ukrainian parents)
Kathryn Lueders,Starbase General Manager (former),2023,United States,B.S. and M.S. Industrial Engineering New Mexico State University,NASA,Former NASA human spaceflight chief; ran Starbase 2023-2025,none documented
James Gleeson,VP Communications,,,,,SpaceX VP of Communications and primary press contact,none documented
Lars Blackmore,Senior Principal Mars Landing Engineer,2011,United Kingdom,M.Eng Cambridge; PhD Aeronautics and Astronautics MIT,NASA JPL,Led Falcon 9 booster landing GNC; co-invented G-FOLD; elected to National Academy of Engineering 2026,none documented
Will Heltsley,VP Propulsion (former),2009,,,,Led propulsion and early Raptor; departed 2021,none documented
Lee Rosen,VP Mission and Launch Operations (former),2013,United States,,US Air Force,Retired USAF officer; led mission and launch operations; departed 2021,none documented
Ricky Lim,Senior Director Mission and Launch Operations (former),2008,,,,Senior mission and launch operations leader; departed 2021,none documented
Tom Ochinero,Senior VP Commercial Business (former),,,Doctorate Engineering Science and Mechanics Virginia Tech,Goldman Sachs / Structural Mechanics Corp,Led global commercial sales; AIAA Associate Fellow; departed 2024,none documented
Garrett Reisman,Director of Space Operations (former),2011,United States,B.S. Penn; PhD Caltech,NASA,Former NASA astronaut; built crew operations; later USC professor,none documented
Sam Patel,Director Starbase Build (former),,,,,Oversaw Starbase infrastructure development over 13-year tenure; later Voyager advisor,none documented
Andy Tran,Avionics Production Supervisor / Webcast Host,,,,,Avionics production supervisor and SpaceX launch webcast commentator,none documented
