name,title,year_joined,origin_country,education,prior_company,notable,documented_adversity
Alec Radford,Researcher,2016,USA,Olin College of Engineering,indico,Lead author GPT / GPT-2 / CLIP / Whisper,none documented
Aditya Ramesh,VP of Research,2019,USA,BS NYU,,Led DALL-E and Sora; no graduate degree,none documented
Prafulla Dhariwal,Technical Fellow,2016,India,BS MIT,,Co-creator GPT-3 / DALL-E 2 / Jukebox / GPT-4o; from Pune child prodigy,Humble origins; rose from Pune as child prodigy
Wojciech Zaremba,Co-founder; Researcher,2015,Poland,PhD NYU,Google Brain,Led robotics and Codex work,none documented
John Schulman,Co-founder; Researcher,2015,USA,PhD UC Berkeley,,Created PPO algorithm; led RLHF / ChatGPT alignment,none documented
Andrej Karpathy,Founding member; Research Scientist,2015,Slovakia,PhD Stanford,Google,Founding member; later Tesla AI director,Slovak-Canadian immigrant
Ian Goodfellow,Research Scientist,2016,USA,PhD Universite de Montreal,Google Brain,Inventor of GANs; among first OpenAI staff,none documented
Tom Brown,Researcher,2016,USA,MEng MIT,Google,Lead author GPT-3; self-taught path into ML,Self-taught; B-minus in linear algebra then rose to AI lead
Jared Kaplan,Researcher,2019,USA,PhD Harvard,Johns Hopkins University,Co-authored Scaling Laws for Neural Language Models,none documented
Benjamin Mann,Researcher,2016,USA,,Google,Co-lead author GPT-3,none documented
Nick Ryder,Researcher,,USA,,,Co-lead author GPT-3; later pretraining lead work,none documented
Sam McCandlish,Researcher,,USA,PhD Stanford,,Co-author Scaling Laws for Neural Language Models,none documented
Dario Amodei,VP of Research,2016,USA,PhD Princeton,Google Brain,Led GPT-2/GPT-3 research; later co-founded Anthropic,none documented
Daniela Amodei,VP of Safety and Policy,,USA,,Stripe,Led safety and policy; later co-founded Anthropic,none documented
Chris Olah,Researcher,,Canada,,Google Brain,Neural network interpretability work; later co-founded Anthropic,none documented
Jack Clark,Policy Director,,UK,,Bloomberg,Policy and communications lead; later co-founded Anthropic,none documented
Tom Henighan,Researcher,,USA,,,Co-author GPT-3 and scaling work,none documented
Jan Leike,Head of Alignment; Superalignment co-lead,2021,Germany,PhD Australian National University,DeepMind,Co-led Superalignment team,none documented
Long Ouyang,Researcher,,USA,PhD Stanford,,Lead author InstructGPT (RLHF),none documented
Jeff Wu,Researcher,,USA,,,Co-author InstructGPT,none documented
Carroll Wainwright,Researcher,,USA,,,Co-author InstructGPT,none documented
Pamela Mishkin,Researcher,,USA,,,Co-author InstructGPT and Codex,none documented
Diogo Almeida,Researcher,,USA,,,Co-author InstructGPT,none documented
Xu Jiang,Researcher,,,,,Co-author InstructGPT,none documented
Ryan Lowe,Researcher,,Canada,PhD McGill,,Co-author InstructGPT,none documented
Jerry Tworek,Researcher; VP of Research,,Poland,,,Co-lead author Codex; reasoning work,none documented
Heewoo Jun,Researcher,,South Korea,,,Co-author Codex / Jukebox / DALL-E,none documented
Qiming Yuan,Researcher,,,,,Co-author Codex,none documented
Henrique Ponde de Oliveira Pinto,Researcher,,Brazil,,,Co-author Codex,none documented
Harri Edwards,Researcher,,UK,,,Co-author Codex,none documented
Alex Ray,Researcher,,USA,,,Co-author Codex,none documented
Raul Puri,Researcher,,USA,,NVIDIA,Co-author Codex,none documented
Michael Petrov,Researcher,,,,,Co-author Codex,none documented
Brooke Chan,Engineer,,USA,,,Co-author Codex and OpenAI Five,none documented
Scott Gray,Researcher,,USA,,Nervana Systems,Co-author Codex; GPU kernels and compute,none documented
Mikhail Pavlov,Researcher,,,,,Co-author Codex,none documented
Alethea Power,Researcher,,USA,,,Co-author Codex; grokking work,none documented
Mohammad Bavarian,Researcher,,Iran,PhD MIT,,Co-author Codex,none documented
Clemens Winter,Researcher,,Germany,,,Co-author Codex,none documented
Philippe Tillet,Researcher,,France,PhD Harvard,,Creator of Triton; co-author Codex,none documented
Felipe Petroski Such,Researcher,,USA,,Uber AI Labs,Co-author Codex,none documented
Matthias Plappert,Researcher,,Germany,,,Co-author Codex; robotics,none documented
Fotios Chantzis,Engineer,,Greece,,,Co-author Codex,none documented
Elizabeth Barnes,Researcher,,USA,,,Co-author Codex; later evaluations work,none documented
Ariel Herbert-Voss,Researcher,,USA,PhD Harvard,,Co-author GPT-3 and Codex; security,none documented
William Hebgen Guss,Researcher,,USA,,,Co-author Codex,none documented
Alex Nichol,Researcher,,USA,,,Co-author GLIDE / DALL-E 2 / Codex,none documented
Alex Paino,Researcher,,USA,,,Co-author Codex; GPT-4.5 pretraining,none documented
Nikolas Tezak,Researcher,,USA,,,Co-author Codex,none documented
Jie Tang,Researcher,,USA,,,Co-author OpenAI Five and Codex,none documented
