,dominance,moat,potential,mental,builder,tyrell_index,rank
NVIDIA,100.0,95,76.3,75.3,56.5,89.0,1
Alphabet (Google),87.2,86,78.0,75.6,58.5,82.0,2
Apple,87.6,84,77.2,74.9,49.3,80.6,3
Microsoft,60.5,85,77.3,75.6,54.6,72.2,4
Amazon,52.2,82,77.8,75.6,53.8,68.4,5
TSMC,43.8,90,79.3,76.0,52.2,68.4,6
SpaceX,24.7,86,78.5,76.5,49.5,60.2,7
OpenAI,16.9,90,77.6,74.8,51.3,58.8,8
Saudi Aramco,34.6,70,79.4,75.9,48.8,58.2,9
Meta Platforms,29.4,74,77.9,75.4,53.9,57.9,10
Broadcom,37.1,66,77.4,74.9,50.4,57.4,11
Tesla,30.4,55,77.5,75.5,52.5,51.6,12
